,Counter,P7,O1,O2,P8
0,0.0,-3.7553140621969754,-4.532314622311364,-4.716948153568724,-4.082584738819528
1,1.0,2.723661539780606,3.322129584878519,2.8861326749020217,3.8117035367800316
2,2.0,1.4506947503662204,0.45406617443734365,2.654846882693369,2.1789707869958277
3,3.0,2.1502555743807443,1.2849936404822189,1.618700710379783,0.7583442590570812
4,4.0,-1.2105183911890278,1.60551550165721,1.1153625421357611,0.8855275250531175
5,5.0,-2.506298009291874,-3.82208268936818,-0.46813899032071815,-2.68156607490773
6,6.0,-10.075303694724775,-9.583525890358978,-9.717733052815978,-9.832137688990624
7,7.0,-3.5090480596602225,-5.143783207842054,-5.069154910444921,-3.460990046622204
8,8.0,2.906175933035742,2.922539829862825,0.21415722609225735,4.262246416466464
9,9.0,-2.9196370975535917,-5.154819839820555,-4.223287512510122,-1.1319019102530103
10,10.0,-2.8273691506975824,-5.935288239582288,-4.23085127610525,-4.617968723202696
11,11.0,-1.7690230879091462,-0.9333971997215498,-0.8240363372591213,-1.243434097319304
12,12.0,-0.6793535238911096,0.6199801842671604,0.805506081174324,-2.1220982983918733
13,13.0,4.3271861282840325,4.201167863733355,3.5439033564162203,4.083000203538287
14,14.0,1.2634537036232283,-0.3126835839096565,1.1720435384141121,1.8507864476453402
15,15.0,4.814215099582269,3.1021080989459113,2.7417637680130085,1.9649698768484811
16,16.0,-1.798123756332525,-3.91277396093402,-5.388406633779905,-4.008405864466427
17,17.0,-4.573976899304324,-4.104597347687398,-5.459140033673861,-4.199317990254978
18,18.0,-4.219453493158662,-8.058570815563385,-5.723762593100151,-5.548600759980729
19,19.0,1.6595544348907756,-0.9436887427020866,1.318920538387938,-1.9056384830947448
20,20.0,-1.3149300367719035,-0.9559728385895905,-3.7011504889588713,-1.2644955724341687
21,21.0,-2.064401646406955,-3.8305867544675642,-3.158940538303927,-4.54378602629985
22,22.0,-3.6796290630899113,-3.4562514302446425,-1.8119832860771603,-5.0539720782824284
23,23.0,-8.248836480564904,-10.407210874160073,-8.904744108660008,-10.545077144259512
