0.1236 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
1.6008 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
6.0576 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E5FFF3490>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020E600296A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0578 	EXP 	window1: mouseVisible = True
6.0578 	EXP 	window1: recordFrameIntervals = False
6.1470 	EXP 	window1: recordFrameIntervals = True
6.1591 	WARNING 	t of last frame was 10.32ms (=1/96)
6.1735 	WARNING 	t of last frame was 14.42ms (=1/69)
6.1868 	WARNING 	t of last frame was 13.30ms (=1/75)
6.2600 	WARNING 	t of last frame was 35.13ms (=1/28)
6.2738 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
6.3740 	EXP 	window1: recordFrameIntervals = False
6.3752 	EXP 	Created square1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square1', opacity=1.0, ori=array(0.), pos=array([  0., 400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.3763 	EXP 	Created square2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square2', opacity=1.0, ori=array(0.), pos=array([-400.,    0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.3774 	EXP 	Created square3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square3', opacity=1.0, ori=array(0.), pos=array([400.,   0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.3784 	EXP 	Created square4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square4', opacity=1.0, ori=array(0.), pos=array([   0., -400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.3826 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
6.3987 	EXP 	image: image = 'game.jpg'
6.3987 	EXP 	image: image = 'game.jpg'
6.3987 	EXP 	square1: autoDraw = True
6.3987 	EXP 	square2: autoDraw = True
6.3987 	EXP 	square3: autoDraw = True
6.3987 	EXP 	square4: autoDraw = True
6.3987 	EXP 	image: autoDraw = True
6.4154 	EXP 	image: image = 'game.jpg'
6.4322 	EXP 	image: image = 'game.jpg'
6.4488 	EXP 	image: image = 'game.jpg'
6.4656 	EXP 	image: image = 'game.jpg'
6.4820 	EXP 	image: image = 'game.jpg'
6.4988 	EXP 	image: image = 'game.jpg'
6.5154 	EXP 	image: image = 'game.jpg'
6.5405 	EXP 	image: image = 'game.jpg'
6.5487 	EXP 	image: image = 'game.jpg'
6.5653 	EXP 	image: image = 'game.jpg'
6.5820 	EXP 	image: image = 'game.jpg'
6.5987 	EXP 	image: image = 'game.jpg'
6.6153 	EXP 	image: image = 'game.jpg'
6.6404 	EXP 	image: image = 'game.jpg'
6.6488 	EXP 	image: image = 'game.jpg'
6.6655 	EXP 	image: image = 'game.jpg'
6.6820 	EXP 	image: image = 'game.jpg'
6.6987 	EXP 	image: image = 'game.jpg'
6.7154 	EXP 	image: image = 'game.jpg'
6.7320 	EXP 	image: image = 'game.jpg'
6.7487 	EXP 	image: image = 'game.jpg'
6.7653 	EXP 	image: image = 'game.jpg'
6.7820 	EXP 	image: image = 'game.jpg'
